# File: iso_GCAM_regID.csv,,,
# Title: ISO to GCAM region mapping,,,
# Units: NA,,,
# Description: Maps iso codes to GCAM regions (including composites as necessary),,,
# ----------,,Former GCAM regions, 
iso,country_name,region_GCAM3,GCAM_region_ID
abw,Aruba,Latin America,5
afg,Afghanistan,Southeast Asia,4
ago,Angola,Africa,7
aia,Anguilla,Latin America,5
alb,Albania,Eastern Europe,2
and,Andorra,Western Europe,2
ant,Netherlands Antilles,Latin America,5
are,United Arab Emirates,Middle East,6
arg,Argentina,Latin America,5
arm,Armenia,Former Soviet Union,2
asm,American Samoa,Southeast Asia,1
atg,Antigua & Barbuda,Latin America,5
aus,Australia,Australia_NZ,1
aut,Austria,Western Europe,2
aze,Azerbaijan,Former Soviet Union,2
bdi,Burundi,Africa,7
bel,Belgium,Western Europe,2
ben,Benin,Africa,7
bfa,Burkina Faso,Africa,7
bgd,Bangladesh,Southeast Asia,4
bgr,Bulgaria,Eastern Europe,2
bhr,Bahrain,Middle East,6
bhs,Bahamas,Latin America,5
bih,Bosnia and Herzegovina,Eastern Europe,2
blr,Belarus,Former Soviet Union,2
blz,Belize,Latin America,5
bmu,Bermuda,Western Europe,1
bol,Bolivia,Latin America,5
bra,Brazil,Latin America,5
brb,Barbados,Latin America,5
brn,Brunei Darussalam,Southeast Asia,4
btn,Bhutan,Southeast Asia,4
bwa,Botswana,Africa,7
caf,Central African Republic,Africa,7
can,Canada,Canada,1
cck,Cocos (Keeling) Islands,Southeast Asia,4
che,Switzerland,Western Europe,2
chi,Channel Islands,Western Europe,2
chl,Chile,Latin America,5
chn,China,China,3
civ,Cote dIvoire,Africa,7
cmr,Cameroon,Africa,7
cod,"Congo, the Democratic Republic of the",Africa,7
cog,Congo,Africa,7
cok,Cook Islands,Australia_NZ,1
col,Colombia,Latin America,5
com,Comoros,Africa,7
cpv,Cape Verde,Africa,7
cri,Costa Rica,Latin America,5
cub,Cuba,Latin America,5
cym,Cayman Islands,Latin America,5
cyp,Cyprus,Western Europe,2
cxr,Christmas Island,Southeast Asia,4
cze,Czech Republic,Eastern Europe,2
deu,Germany,Western Europe,2
dji,Djibouti,Africa,7
dma,Dominica,Latin America,5
dnk,Denmark,Western Europe,2
dom,Dominican Republic,Latin America,5
dza,Algeria,Africa,6
ecu,Ecuador,Latin America,5
egy,Egypt,Africa,6
eri,Eritrea,Africa,7
esh,Western Sahara,Africa,6
esp,Spain,Western Europe,2
est,Estonia,Former Soviet Union,2
eth,Ethiopia,Africa,7
fin,Finland,Western Europe,2
fji,Fiji,Southeast Asia,4
flk,Falkland Islands (Malvinas),Latin America,5
fra,France,Western Europe,2
fro,Faroe Islands,Western Europe,2
fsm,"Micronesia, Federated States of",Southeast Asia,4
gab,Gabon,Africa,7
gbr,United Kingdom,Western Europe,2
geo,Georgia,Former Soviet Union,2
gha,Ghana,Africa,7
gib,Gibraltar,Western Europe,2
gin,Guinea,Africa,7
glp,Guadeloupe,Latin America,5
gmb,Gambia,Africa,7
gnb,Guinea-Bissau,Africa,7
gnq,Equatorial Guinea,Africa,7
grc,Greece,Western Europe,2
grd,Grenada,Latin America,5
grl,Greenland,Western Europe,2
gtm,Guatemala,Latin America,5
guf,French Guiana,Latin America,5
gum,Guam,Southeast Asia,4
