# File: iso_EUR.csv,,,
# Title: ISO to Europe region mapping,,,
# Units: NA,,,
# Description: Maps iso codes to EUR countries,,,
# ----------,,, 
iso,country_name,EUR_region,
alb,Albania,Balkan,
and,Andorra,Spain,
aut,Austria,Austria,
bel,Belgium,Belgium,
bgr,Bulgaria,Bulgaria,
bih,Bosnia and Herzegovina,Balkan,
blr,Belarus,Ukraine and Belarus,
che,Switzerland,Switzerland,
chi,Channel Islands,UK,
cyp,Cyprus,Cyprus,
cze,Czech Republic,Czech Republic,
deu,Germany,Germany,
dnk,Denmark,Denmark,
esp,Spain,Spain,
est,Estonia,Estonia,
fin,Finland,Finland,
fra,France,France,
fro,Faroe Islands,Norway and Iceland,
gbr,United Kingdom,UK,
gib,Gibraltar,UK,
grc,Greece,Greece,
grl,Greenland,Denmark,
hrv,Croatia,Croatia,
hun,Hungary,Hungary,
imn,Isle of Man,UK,
irl,Ireland,Ireland,
isl,Iceland,Norway and Iceland,
ita,Italy,Italy,
lie,Liechtenstein,Switzerland,
ltu,Lithuania,Lithuania,
lux,Luxembourg,Luxembourg,
lva,Latvia,Latvia,
mco,Monaco,France,
mda,"Moldova, Republic of",Ukraine and Belarus,
mkd,"Macedonia, the former Yugoslav Republic of",Balkan,
mlt,Malta,Malta,
mne,Montenegro,Balkan,
nld,Netherlands,Netherlands,
nor,Norway,Norway and Iceland,
pol,Poland,Poland,
prt,Portugal,Portugal,
rom,Romania,Romania,
scg,Serbia and Montenegro,Balkan,
sjm,Svalbard and Jan Mayen Islands,Norway and Iceland,
smr,San Marino,Italy,
srb,Serbia,Balkan,
svk,Slovakia,Slovakia,
svn,Slovenia,Slovenia,
swe,Sweden,Sweden,
ukr,Ukraine,Ukraine and Belarus,
vat,Vatican,Italy,
yug,"Yugoslavia, Federal Republic of",Balkan,
